order_month,total_orders,unique_customers,total_revenue,avg_order_value,avg_review_score,avg_delivery_days,on_time_delivery_rate,month_date,new_customers,returning_customers
2016-09,1,1,0.0,,1.0,54.0,0.0,2016-09-01,1,0
2016-10,265,262,46566.71,175.72,4.01,19.1,99.25,2016-10-01,262,0
2016-12,1,1,19.62,19.62,5.0,4.0,100.0,2016-12-01,1,0
2017-01,750,718,127545.67,170.06,4.2,12.1,96.93,2017-01-01,717,1
2017-02,1653,1630,271298.65,164.13,4.2,12.6,96.98,2017-02-01,1628,2
2017-03,2546,2508,414369.39,162.75,4.19,12.4,94.97,2017-03-01,2503,5
2017-04,2303,2274,390952.18,169.76,4.14,14.4,92.88,2017-04-01,2256,18
2017-05,3546,3479,567066.73,159.92,4.24,10.8,96.84,2017-05-01,3451,28
2017-06,3135,3076,490225.6,156.37,4.22,11.5,96.65,2017-06-01,3037,39
2017-07,3872,3802,566403.93,146.28,4.26,11.1,96.82,2017-07-01,3752,50
2017-08,4193,4114,646000.61,154.07,4.31,10.7,96.83,2017-08-01,4057,57
2017-09,4150,4083,701169.99,168.96,4.27,11.4,95.04,2017-09-01,4004,79
2017-10,4478,4417,751140.27,167.74,4.21,11.4,95.06,2017-10-01,4328,89
2017-11,7289,7183,1153528.05,158.26,3.99,14.7,86.6,2017-11-01,7060,123
2017-12,5513,5450,843199.17,152.95,4.09,14.9,91.98,2017-12-01,5338,112
2018-01,7069,6974,1078606.86,152.58,4.11,13.6,93.76,2018-01-01,6842,132
2018-02,6555,6400,966510.88,147.45,3.88,16.5,84.59,2018-02-01,6288,112
2018-03,7003,6914,1120678.0,160.03,3.81,15.9,79.49,2018-03-01,6774,140
2018-04,6798,6744,1132933.95,166.66,4.21,11.0,94.98,2018-04-01,6582,162
2018-05,6749,6693,1128836.69,167.26,4.24,11.0,92.41,2018-05-01,6506,187
2018-06,6099,6061,1012090.68,165.94,4.31,8.8,98.64,2018-06-01,5878,183
2018-07,6159,6100,1027903.86,166.89,4.32,8.5,95.88,2018-07-01,5949,151
2018-08,6351,6310,985414.28,155.16,4.31,7.3,91.32,2018-08-01,6144,166
